Paper,,,,,Datasets Used,Methods,Goal/Objective,,,Performance Eval,,,,Limitations
Forecasting COVID-19 pandemic using optimal singular spectrum analysis,metric-based,compare internally,chaos,Kristen,"cases, deaths, testing, policy, mobility, demographics, human behavior",statistical,Short-term,,national,"cases, deaths",RMSE,no,no,limitations specific to the methods used
"Forecasting incidences of COVID-19 using Box-Jenkins method for the period July 12-Septembert 11, 2020: A study on highly affected countries",not evaluable,not evaluable,chaos,Kristen,cases,statistical,Long-term,,national,"cases, growth rate",NA,no,no,none
Forecasting spread of COVID-19 using google trends: A hybrid GWO-deep learning approach,metric-based,compare internally,chaos,Kristen,"cases, deaths, human behavior",statistical,Short-term,,national,"cases, deaths","MAPE, nRMSE",no,no,none
"Forecasting the cumulative number of confirmed cases of COVID-19 in Italy, UK and USA using fractional nonlinear grey Bernoulli model",metric-based,compare internally,chaos,Kristen,cases,statistical,Short-term,,national,"cases, growth rate","RMSE, MAPE, R2",no,no,none
Forecasting the patterns of COVID-19 and causal impacts of lockdown in top five affected countries using Bayesian Structural Time Series Models,metric-based,compare internally,chaos,Kristen,"cases, deaths, testing",statistical,Short-term,,national,"cases, deaths, critical care beds, ventilators","RMSE, MAE, RMSPE, RMdSPE",some kind of PIs,CIs/PIs,"data, note factors that were not accounted for in their model"
Forecasting the spread of COVID-19 under different reopening strategies,not evaluable,not evaluable,,Kristen,"cases, climate, mobility, demographics",compartmental,Long-term,"Scenarios, Interventions",national,cases,NA,no,no,none
Generalized SIR (GSIR) epidemic model: An improved framework for the predictive monitoring of COVID-19 pandemic,not evaluable,not evaluable,,Sonia,"cases, deaths",hybrid,Long-term,Scenarios,national,deaths,NA,no,no,none
Going by the numbers: Learning and modeling COVID-19 disease dynamics,metric-based,evaluate one model,chaos,Kristen,"cases, deaths",statistical,Short-term,,"national, county","cases, deaths",RMSE,no,no,none
Gradient-based grey wolf optimizer with Gaussian walk: Application in modelling and prediction of the COVID-19 pandemic,not evaluable,not evaluable,,Kristen,"cases, deaths",hybrid,Long-term,"Scenarios, Interventions",national,"cases, deaths, ICU admissions, peak cases, peak deaths, peak ICU admissions",NA,no,no,"note factors that were not accounted for in their model, limitations specific to the methods used"
How relevant is the decision of containment measures against COVID-19 applied ahead of time?,not evaluable,not evaluable,chaos,Kristen,cases,compartmental,Long-term,"Scenarios, Interventions",national,"cases, symptomatic cases",NA,some kind of PIs shown on plots but not specified what it is,CIs/PIs,none
Impact of US vaccination strategy on COVID-19 wave dynamics,not evaluable,not evaluable,,Kristen,"mobility, cases",statistical,Long-term,"Scenarios, Interventions",regional (groups of states),cases,NA,no,no,none
"Impacts of K-12 school reopening on the COVID-19 epidemic in Indiana, USA",not evaluable,not evaluable,,Sonia,"deaths, hospitalizations, mobility, human behavior",compartmental,Long-term,"Scenarios, Interventions",state,"cases, hospitalizations, deaths",NA,95% posterior predictive interval,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
Implementation of the SutteARIMA method to predict short-term cases of stock market and COVID-19 pandemic in USA,metric-based,evaluate one model,,Sonia,"cases, stock market data",statistical,Short-term,,national,cases,MAPE,99% Upper and Lower Limit,CIs/PIs,none
Infection rate models for COVID-19: Model risk and public health news sentiment exposure adjustments,metric-based,compare internally,,Felix-further discussion,"cases, human behavior",statistical,Short-term,,national,cases,"DIC, MAE, MAPE, MASE, RMSE",95% CIs,CIs/PIs,data
Initial Simulation of SARS-CoV2 Spread and Intervention Effects in the Continental US,not evaluable,not evaluable,hub preprint,Felix,"cases, mobility",compartmental,Long-term,"Interventions, Scenarios",county,cases,NA,no,no,none
Interpretable Sequence Learning for COVID-19 Forecasting,metric-based,compare to hub,hub preprint,Felix,"cases, deaths, mobility, demographics, climate, testing, hospital resources",hybrid,Short-term,,"state, county","cases, deaths, hospitalizations",MAE,80% CIs,CIs/PIs,"data, limitations specific to the methods used"
"Interpreting, analysing and modelling COVID-19 mortality data",metric-based,evaluate one model,,further discussion,"deaths, demographics, policy",statistical,Short-term,,national,deaths,percent error,80% PIs,CIs/PIs,none
Maximum likelihood-based extended Kalman filter for COVID-19 prediction,metric-based,evaluate one model,,Felix-further discussion,"cases, deaths",hybrid,Short-term,,national,"cases, deaths","MAE, RMSE",no,no,data
Modeling and forecasting of COVID-19 using a hybrid dynamic model based on SEIRD with ARIMA corrections,not evaluable,not evaluable,,Kristen,"cases, deaths ",hybrid,Long-term ,,national,"cases, deaths","MAE, MSE, MLSE, nMAE, nMSE",95% CIs,CIs/PIs,"limitations specific to the methods used, note factors that were not accounted for in their model"
Modeling and prediction of COVID-19 pandemic using Gaussian mixture model,metric-based,evaluate one model,,further discussion,cases,statistical,Short-term,,national,"cases, peak cases, end dates of pandemic",MAE ,95% CIs,CIs/PIs,none
Modeling COVID-19 Dynamics in Illinois under Nonpharmaceutical Interventions,not evaluable,not evaluable,,Kristen,hospitalizations,hybrid,Long-term,"Scenarios, Interventions","state, regional (within state)","deaths, hospitalizations, ICU admissions",NA,"70% CIs, 95% CIs",CIs/PIs,"limitations specific to the methods used, data, unknown factors that affect covid outcomes, note factors that were not accounted for in their model"
Modeling COVID-19 scenarios for the United States,not evaluable,not evaluable,,Kristen,"cases, deaths, mobility, testing",compartmental,Long-term,"Scenarios, Interventions",state ,"cases, deaths",NA,no,no,"limitations specific to the methods used, data"
Modeling the transmission of COVID-19 in the US ‚Äì A case study,not evaluable,not evaluable,,Kristen,cases,compartmental,Long-term,Scenarios,county,"exposed, cases, hospitalizations",NA,no,no,"note factors that were not accounted for in their model, data"
"Modeling, state estimation, and optimal control for the US COVID-19 outbreak",not evaluable,not evaluable,,Kristen,"cases, deaths",compartmental,Long-term,Scenarios,national,"cases, deaths",NA,no,no,"note factors that were not accounted for in their model, data, unknown factors that affect covid outcomes, limitations specific to the methods used"
Modelling and forecasting of growth rate of new COVID-19 cases in top nine affected countries: Considering conditional variance and asymmetric effect,metric-based,compare internally,chaos,Kristen,cases,statistical,Short-term,,national,growth rate,RMSE,no ,no,none
Neural Relational Autoregression for High-Resolution COVID-19 Forecasting.,metric-based,compare to hub,hub preprint,Felix,"cases, mobility, testing, climate",statistical,Short-term,,county,cases,MAE,no,no,limitations specific to the methods used
Non-Pharmaceutical Interventions as Controls to mitigate the spread of epidemics: An analysis using a spatiotemporal PDE model and COVID-19 data,not evaluable,not evaluable,,Sonia,"cases, deaths",compartmental,"Short-term, Long-term","Scenarios, Interventions",state,"cases, deaths",NA,no,no,"note factors that were not accounted for in their model, data"
On an interval prediction of COVID-19 development based on a SEIR epidemic model,not evaluable,not evaluable,,further discussion,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",state,cases,NA,PIs,CIs/PIs,none
On forecasting the community-level COVID-19 cases from the concentration of SARS-CoV-2 in wastewater,metric-based,compare internally,,Kristen,"cases, wastewater concentration of covid-19",statistical,Short-term,,county,cases,"MAE, MAPE",95% CIs,CIs/PIs,"limitations specific to the methods used, data"
Optimization using the firefly algorithm of ensemble neural networks with type-2 fuzzy integration for COVID-19 time series prediction,metric-based,compare internally,,Sonia,"cases, deaths",statistical,Short-term,,national,"cases, deaths",MSE,no,no,none
Pandemic velocity: Forecasting COVID-19 in the US with a machine learning &amp; Bayesian time series compartmental model,metric-based,evaluate one model,,Kristen,"cases, deaths",hybrid,"Short-term, Long-term",,state,"cases, deaths ",MASE,95% CIs,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes, limitations specific to the methods used"
Population agglomeration is a harbinger of the spatial complexity of COVID-19,not evaluable,not evaluable,,further discussion,"cases, demographics",compartmental,Long-term,"Scenarios, Interventions",county,"""spectral slope"" (indicator of cases)",NA,looks like there's some kind of PI,CIs/PIs,none
Predicting mortality for Covid-19 in the US using the delayed elasticity method,not evaluable,not evaluable,,Kristen,"cases, deaths",statistical,Long-term,,"national, state, city",deaths ,NA,some kind of PI,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes, data"
"Predicting the second wave of COVID-19 in Washtenaw County, MI",not evaluable,not evaluable,,Kristen,"cases, hospitalizations, deaths, demographics",compartmental,Long-term,"Scenarios, Interventions",county,"cases, hospitalizations, deaths",NA,some kind of PI. show full range of simulations that fall within a 10% error tolerance ,CIs/PIs,"note factors that were not accounted for in their model, limited generalizability"
"Predicting turning point, duration and attack rate of COVID-19 outbreaks in major Western countries",none,none,chaos,Kristen,cases,statistical,Short-term,,national,"cases, peak cases date, duration of outbreak, attack rate",NA,no,no,none
Projected COVID-19 epidemic in the United States in the context of the effectiveness of a potential vaccine and implications for social distancing and face mask use,not evaluable,not evaluable,,Kristen,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",state,"cases, deaths",NA,95% CIs,CIs/PIs,note factors that were not accounted for in their model
Public mobility data enables COVID-19 forecasting and management at local and global scales,metric-based,evaluate one model,,Kristen,"cases, deaths, mobility, policy",statistical,Short-term,,state,cases,percent error,no,no,"note factors that were not accounted for in their model, limited generalizability"
Quantifying compliance with COVID-19 mitigation policies in the US: A mathematical modeling study,metric-based,evaluate one model,,Kristen,"cases, policy, mobility",statistical,Short-term ,,regional (groups of states),cases,MAPE,no,no,none
REAL-TIME MECHANISTIC BAYESIAN FORECASTS OF COVID-19 MORTALITY,metric-based,compare to hub,hub preprint,Felix,"cases, deaths",hybrid,Short-term,,state,deaths,"MAE, PI coverage rate",95% CIs,CIs/PIs,data
Replicating and projecting the path of COVID-19 with a model-implied reproduction number,not evaluable,not evaluable,,Kristen,"cases, deaths",compartmental,Long-term,,national,cases,NA,no,no,none
Risk of a second wave of Covid-19 infections: using artificial intelligence to investigate stringency of physical distancing policies in North America,none,none,,Kristen,"cases, deaths, policy",hybrid,Short-term,,"national, county ",cases,NA,"75% CIs, 95% CIs",CIs/PIs,note factors that were not accounted for in their model
RLIM: a recursive and latent infection model for the prediction of US COVID-19 infections and turning points,metric-based,evaluate one model,,Sonia,cases,hybrid,Short-term,,state,cases,"MSE, RMSE, AFER",no,no,none
Simple discrete-time self-exciting models can describe complex dynamic processes: A case study of COVID-19,none,none,,Kristen,"cases, deaths",statistical,Short-term,,national,deaths,NA,95% PIs,CIs/PIs,"note factors that were not accounted for in their model, data"
Social distancing mediated generalized model to predict epidemic spread of COVID-19,not evaluable,not evaluable,,Sonia,"cases, policy",statistical,Long-term,"Scenarios, Interventions",national,growth rate,NA,no,no,none
Space-time covid-19 Bayesian SIR modeling in South Carolina,metric-based,compare internally,,Kristen,"cases, deaths, demographics",compartmental,Short-term,,county,cases,"MSPE, MSE",95% CIs,CIs/PIs,data
"Spatiotemporal Dynamics, Nowcasting and Forecasting of COVID-19 in the United States",metric-based,evaluate one model,hub preprint,Felix,"cases, deaths, policy, demographics, mobility",hybrid,Short-term,,"state, county","cases, deaths","RMSE, PI coverage rate",95% CIs,CIs/PIs,note factors that were not accounted for in their model
Spatiotemporal transmission dynamics of the COVID-19 pandemic and its impact on critical healthcare capacity,not evaluable,not evaluable,,Sonia,"cases, hospitalizations, deaths",compartmental,Long-term,"Scenarios, Interventions",county,"cases, hospitalizations, deaths, ICU admissions",NA,95% CIs,CIs/PIs,"note factors that were not accounted for in their model, limited generalizability"
STAN: Spatio-Temporal Attention Network for Pandemic Prediction Using Real World Evidence,metric-based,compare internally,hub preprint,Felix,"cases, demographics, hospitalizations",statistical,Short-term,,"state, county",cases,"MSE, MAE, CCC",95% CIs,CIs/PIs,"data, limitations specific to the methods used"
State-level tracking of COVID-19 in the United States,metric-based,"compare to hub, compare internally",,Sonia,"cases, mobility, deaths",statistical,Short-term,,state,"deaths, RT","MAE, CRPS, PI coverage rate","95% CIs, 50% CIs",CIs/PIs,none
State-specific projection of COVID-19 infection in the United States and evaluation of three major control measures,not evaluable,not evaluable,,Sonia,"cases, mobility, deaths",compartmental,Long-term,"Scenarios, Interventions",state,cases,NA,no,no,note factors that were not accounted for in their model
System inference for the spatio-temporal evolution of infectious diseases: Michigan in the time of COVID-19,not evaluable,not evaluable,,Sonia,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",county,"parameters, cases, deaths",NA,no,no,none
The Benefits of Vaccinating With the First Available COVID-19 Coronavirus Vaccine,not evaluable,not evaluable,,Sonia,"cases, health risk factors",compartmental,Long-term,"Scenarios, Interventions",national,"cases, costs, hospitalizations",NA,no,no,"data, note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
The challenges of modeling and forecasting the spread of COVID-19,none,none,,Sonia,"cases, deaths","compartmental, statistical","Short-term, Long-term","Interventions, Scenarios",state,"cases, RT",NA,95% CIs,CIs/PIs,"data, note factors that were not accounted for in their model"
The effect of eviction moratoria on the transmission of SARS-CoV-2,not evaluable,not evaluable,,Sonia,"cases, deaths, demographics",hybrid,Long-term,"Scenarios, Interventions",city,cases,NA,90% CIs,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
The end of social confinement and COVID-19 re-emergence risk,not evaluable,not evaluable,,further discussion,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",national,"cases, deaths",NA,no,no,"note factors that were not accounted for in their model, limitations specific to the methods used, unknown factors that affect covid outcomes, data"
The forecast of COVID-19 spread risk at the county level,metric-based,compare internally,,Sonia,"mobility, demographics, cases, deaths",statistical,Short-term,,county,cases,"MAE, R2",no,no,none
The impact of vaccination to control COVID-19 burden in the United States: A simulation modeling approach,not evaluable,not evaluable,,Sonia,"mobility, cases",compartmental,Long-term,"Scenarios, Interventions",city,cases,NA,no,no,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
The Interplay of Demographic Variables and Social Distancing Scores in Deep Prediction of U.S. COVID-19 Cases,none,none,,Sonia,"cases, deaths, demographics, mobility",statistical,Short-term,,county,cases,NA,no,no,"unknown factors that affect covid outcomes, note factors that were not accounted for in their model"
The predicted trend of COVID-19 in the United States of America under the policy of ‚ÄúOpening Up America Again‚Äù,not evaluable,not evaluable,,Sonia,"cases, deaths",statistical,Long-term,,national,"cases, deaths",NA,no,no,none
The spatiotemporal estimation of the risk and the international transmission of COVID-19: a global perspective,not evaluable,not evaluable,,Sonia,"mobility, cases, demographics",statistical ,Long-term,Scenarios,national,cases,NA,no,no,unknown factors that affect covid outcomes
The suppression effect of emotional contagion in the COVID-19 pandemic: A multilayer hybrid modelling and simulation approach,none,none,,Sonia,"cases, deaths",hybrid,Short-term,,city,cases,NA,no,no,note factors that were not accounted for in their model
Time series forecasting of Covid-19 using deep learning models: India-USA comparative case study,metric-based,compare internally,chaos,Sonia,"cases, deaths",statistical,Short-term,,national,"cases, deaths","MAPE, accuracy, precision",no,no,none
Time series prediction of COVID-19 transmission in America using LSTM and XGBoost algorithms,metric-based,compare internally,,Sonia,cases,statistical,Short-term,,national,cases,"MAE, MSE, RMSE, MAPE",no,no,"note factors that were not accounted for in their model, limited generalizability"
"Time-dependent heterogeneity leads to transient suppression of the COVID-19 epidemic, not herd immunity",not evaluable,not evaluable,,Sonia,"deaths, hospitalizations",hybrid,Long-term,,city,deaths,NA,95% CIs,CIs/PIs,"note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
Time-variant reliability-based prediction of COVID-19 spread using extended SEIVR model and Monte Carlo sampling,not evaluable,not evaluable,,kristen-further discussion,"cases, deaths",compartmental ,Long-term,"Scenarios, Interventions",national,"cases, deaths, curves of probabilities that cases/deaths/recoveries will exceed certain values",NA,exceedance probabilities (prob that true value will exceed a given value),CIs/PIs,unknown factors that affect covid outcomes
Timing social distancing to avert unmanageable COVID-19 hospital surges,not evaluable,not evaluable,,Sonia,"hospitalizations, policy, human behavior",compartmental,Long-term,"Scenarios, Interventions",city,"hospitalizations, deaths",NA,90% prediction interval based on 300 simulations,CIs/PIs,"limited generalizability, note factors that were not accounted for in their model"
"Weather, Mobility, and COVID-19: A Panel Local Projections Estimator for Understanding and Forecasting Infectious Disease Spread",metric-based,evaluate one model,hub preprint,Felix,"cases, deaths, mobility, climate",hybrid,"Short-term, Long-term",,county,cases,"RMSE, pearson correlation",no,no,"data, note factors that were not accounted for in their model"
State-level needs for social distancing and contact tracing to contain COVID-19 in the United States,not evaluable,not evaluable,,Sonia,"cases, mobility",compartmental,Long-term,"Scenarios, Interventions",state,"cases, deaths",NA,CIs/Pis,CIs/PIs,"note factors that were not accounted for in their model, data"